period;auto;sum_remont;Cnt_at_mnth
01.07.2024;87028 MITSUBISHI L200 2,5 С792РС198;23200;4
01.07.2024;87029 MITSUBISHI L200 2,5 С854ВУ198;86928.33;2
01.07.2024;87037 Toyota Camry С890ВУ198;41100;1
01.07.2024;87455 IVECO 2227UR С435УМ198;32244;1
01.07.2024;87456 УАЗ-3163 Патриот С978НК198;71356.82;2
01.07.2024;90029 УРАЛ 583100 А670УС89;263157;2
01.07.2024;90841 КамАЗ 4590Е7 Р626УУ198;28798.6;2
01.07.2024;90842 КамАЗ 4590Е7 Р625УУ198;139862.57;1
01.07.2024;93515 Mercedes-Benz-3341 Aсtros Р100ЕА89;178255.49;2
01.07.2024;94053 Mercedes-Benz-3341 Aсtros О370ВА198;225801.31;0
01.07.2024;АО;26810;0
01.07.2024;40505 МКСМ-800Н 6543НТ77;169691.66;0
01.07.2024;40518 BOBCAT S-175 7194СН64;143047.1;1
01.07.2024;42228 JINGONG JGM737K 3203СВ78;186323.53;2
01.07.2024;84416 УАЗ-390945 (Фермер) Р334УА198;49592;2
01.07.2024;84671 УАЗ-220695-04 У657УВ178;28535.56;0
01.07.2024;84675 УАЗ-220695-04 г/н О058АХ198;5000;0
01.07.2024;86996 2227UR г/н С207РС198;3000;0
01.07.2024;Автомомобиль Toyota Camry VIN:XW7BF4FK50S044192, гос№ С890ВУ198 инв № СЕ-034336 (Восстановительный ремонт);6300;0
01.07.2024;90842 КамАЗ 4590Е7 Р625УУ198 ТДУ;62243.93;0
01.07.2024;94053 Mercedes-Benz-3341 Aсtros  О370ВА198;175158.41;0
01.07.2024;106247 УРАЛ 7098Т2 ППУ 1600/100 Р227РТ198;9341.66;1
01.07.2024;107161 КамАЗ КО-449 Р405ТН198;77880.18;1
01.07.2024;115928 КамАЗ-53215-15 Р831УР198;244185.64;1
01.07.2024;115929 КамАЗ-532150 Р273УН198;259674.69;1
01.07.2024;117214 УРАЛ 4320-1951-40 5493V2 (столовая) Р927СА198;29166.67;3
01.07.2024;117214 УРАЛ 4320-1951-40 5493V2 г/н Р927СА198;3732;0
01.07.2024;118011 УРАЛ 5675-G0 О039АЕ198;29166.67;0
01.07.2024;118024 УРАЛ 5666 О027ВТ198;723611.41;0
01.07.2024;118047 УРАЛ 66173-0000013 В306ХТ199;6000;0
01.07.2024;118301 УРАЛ 567521 Р760ОК198;103686.34;1
01.07.2024;118586 УРАЛ 5493Т Р588КЕ198;20000;1
01.07.2024;118590 УРАЛ 5493Т Р624МС198;20000;1
01.07.2024;118593 УРАЛ 5493Т Р235РМ198;20000;1
01.07.2024;118595 УРАЛ 5493Т Р727РА198;49300.28;4
01.07.2024;118597 УРАЛ 5493Т г/н Р244РВ198;3732;0
01.07.2024;118597 УРАЛ 5493Т Р244РВ198;20000;4
01.07.2024;118598 УРАЛ 5493Т Р609КН198;20000;2
01.07.2024;118602 УРАЛ 5493Т Р889СА198;3120;1
01.07.2024;118604 УРАЛ 5493Т г/н Р984МО198;3732;0
01.07.2024;118604 УРАЛ 5493Т Р984МО198;20000;2
01.07.2024;118605 УРАЛ 5493Т Р967МО198;20000;1
01.07.2024;118607 УРАЛ 5493Т г/н Р466КС198;3732;0
01.07.2024;118607 УРАЛ 5493Т Р466КС198;20000;3
01.07.2024;118611 УРАЛ 5493Т Р463КС198;20000;1
01.07.2024;121101 ЭД-30С-Т400-2Р;21366.67;2
01.07.2024;121101 ЭД-30С-Т400-2Р ;5339;0
01.07.2024;121125 RW50HC;3293.8;2
01.07.2024;125327 АД-200С-Т400-1Р;1357661.08;1
01.07.2024;136031 УЗСТ 9177-0000107 ВУ910878;46370;0
01.07.2024;156243 СЭТ KBT24T-S;23968.93;1
01.07.2024;Электропогрузчик Ричтрак LEMA FRB-20105  VIN:отсутствует,   инв № СЕ-034838 (Техническое обслуживание);9550;0
01.07.2024;124730 АД-200С-Т400-1Р;528258.5;0
01.07.2024;117053 УРАЛ 47441С г/н О036ЕН198;5000;0
01.07.2024;117056 УРАЛ 47441С г/н О130ВУ198;5000;0
01.07.2024;117211 УРАЛ 4320-1951-40 5493V2 (столовая) Р844СЕ1;54447.2;0
01.07.2024;117212 УРАЛ 4320-1951-40 5493V2 (столовая) Р627РВ1;53029.81;0
01.07.2024;117029 УРАЛ 47441С О867СР11 (продуктовка);53029.8;0
01.07.2024;107080 КамАЗ-65115 МКЗ-4804-02 (мусоровоз) М072СК7;53735.84;0
01.07.2024;Штабелер самоходный LEMA SRL-1225 VIN:XEA2128011  (Техническое обслуживание);4583.33;0
01.08.2024;107160 КамАЗ МК-4546-08 Р906УО198;51245.7;2
01.08.2024;107163 КамАЗ КО-449 Р931ТР198;9938.8;1
01.08.2024;111882 УРАЛ 44202-82 Р248ТТ198;232350;2
01.08.2024;117114 УРАЛ 47441В О022ЕА198;34306.72;1
01.08.2024;117139 ГАЗ-A32R35 М308РО198;6390.67;2
01.08.2024;117140 ГАЗ-28181-0000010-72 Р721НУ198;191107.34;3
01.08.2024;117194 КамАЗ-43118-23027-50 АФ-57435С-02 Р038СО198;18340;3
01.08.2024;117198 КамАЗ-43118-23027-50 АФ-57435С-02 Р474УК198;173490.25;2
01.08.2024;117263 ГАЗ-3009Z6 Н571КМ198;61300;2
01.08.2024;117272 ГАЗ-БЕЛАВА 1220U0 С416ЕЕ198;13475.01;4
01.08.2024;118051 УРАЛ 66173-0000013 О881СХ11;11290;9
01.08.2024;118055 УРАЛ 66173-0000013 У780АВ197;88070;4
01.08.2024;118056 УРАЛ 66173-0000013 О029ЕК198;29660.4;2
01.08.2024;118067 УРАЛ 66173-0000013 О041ЕН198;201387.59;1
01.08.2024;118073 УРАЛ 66173-0000013 О041АЕ198;104883.41;3
01.08.2024;118110 КамАЗ-56774-22 О030ВТ198;25808;2
01.08.2024;118111 КамАЗ-56774-22 Р560РН198;224174.31;2
01.08.2024;118113 КамАЗ-56774-22 О038АА198;6000;6
01.08.2024;118172 УРАЛ 46151-01 Р280УО198;17500;1
01.08.2024;118249 УРАЛ 66173-0000012 О023АВ198;4288.34;0
01.08.2024;118298 УРАЛ 567521 Р785ОК198;155157.66;0
01.08.2024;118307 УРАЛ 4672М1-20 АЦПТ-10 NEXT О364АК198;149378.13;2
01.08.2024;118455 УРАЛ 5493Т Р298ОН198;6000;4
01.08.2024;118458 УРАЛ 5493Т Р661ОМ198;188716.97;4
01.08.2024;118515 УРАЛ 4320-1951-40 4672К7-10 Р249СУ198;230735.24;3
01.08.2024;118591 УРАЛ 5493Т Р905РУ198;173338.9;3
01.08.2024;118592 УРАЛ 5493Т Р850РО198;2500;2
01.08.2024;118594 УРАЛ 5493Т Р290РМ198;850;2
01.08.2024;118603 УРАЛ 5493Т Р983МО198;2600;0
01.08.2024;118609 УРАЛ 5493Т Р978МО198;15760.75;2
01.08.2024;120071 СЭТ KBT24T-S;7697.8;1
01.08.2024;120072 СЭТ KBT24T-S;4606.62;1
01.08.2024;120073 СЭТ KBT24T-S;4725.48;1
01.08.2024;122017 АД-60С-Т400-1Р;6349.23;1
01.08.2024;125343 XMT-400CC2S-JSDJ;34776.14;2
01.08.2024;125344 XMT-400CC2S-JSDJ;37687.62;3
01.08.2024;125347 XMT-400CC2S-JSDJ;34201.22;2
01.08.2024;125348 XMT-400CC2S-JSDJ;35918.96;2
01.08.2024;149167 СЭТ КВТ23Т-S;3293.03;1
01.08.2024;150127 Toyota Hilux С309АР154;179593.34;2
01.08.2024;17043 JCB 3 CX-4WS-SM 6055ЕТ05;116507.09;2
01.08.2024;17198 KOMATSU WB93R-5Е0 9294ХО50;44392.04;1
01.08.2024;40498 XCMG XC740RU 6604СВ78;40005.43;1
01.08.2024;42034 JCB 456 ZX 9850НТ89;8310;3
01.08.2024;42230 JINGONG JGM737K 3204СВ78;2500;1
01.08.2024;42231 JINGONG JGM737K 3205СВ78;17358.14;2
01.08.2024;"81277 УРАЛ 3255-0013-41 ""Вахта"" Р321ХА197";4288.34;0
01.08.2024;"81317 УРАЛ-325512-0010-41 ""Вахта"" с КМУ ИМ-25 С041НК197";196880;1
01.08.2024;81987 УРАЛ 32551-5013-71 О237ВО198;58000;2
01.08.2024;82148 ПАЗ-3206 О037ВС198;4926.25;2
01.08.2024;82156 ПАЗ-3206 Н682КМ198;350;3
01.08.2024;83422 УАЗ-390995 О197ТМ11;770.03;1
01.08.2024;83435 УАЗ-3163 Патриот Р172КР198;18118.98;1
01.08.2024;84071 VOLKSWAGEN 2H AMAROK Р749УЕ198;401113.34;1
01.08.2024;84072 VOLKSWAGEN 2H AMAROK Т867СВ197;290838.24;1
01.08.2024;84199 УАЗ-220695-04 Е698РТ197;145489;2
01.08.2024;86714 MITSUBISHI PAJERO SPORT Е223НТ198;650;3
01.08.2024;86995 MITSUBISHI L200 2,5 Р509РК198;34045.21;1
01.08.2024;86996 2227UR С207РС198;15210;2
01.08.2024;86998 УАЗ-23638 UAZ Pickup С579НК198;16141.67;1
01.08.2024;87008 Toyota Camry Н907СС198;20500;1
01.08.2024;87011 Toyota Hiace Р946УР198;44474;2
01.08.2024;87027 MITSUBISHI L200 2,5 С563РС198;12691.33;3
01.08.2024;87028 MITSUBISHI L200 2,5 С792РС198;148087.36;1
01.08.2024;87455 IVECO 2227UR С435УМ198;48946.91;1
01.08.2024;90029 УРАЛ 583100 А670УС89;42600;1
01.08.2024;90420 УРАЛ 55571-0121-40 Е567УО35;62840.23;1
01.08.2024;90841 КамАЗ 4590Е7 Р626УУ198;21441.7;1
01.08.2024;90842 КамАЗ 4590Е7 Р625УУ198;17153.36;1
01.08.2024;93515 Mercedes-Benz-3341 Aсtros Р100ЕА89;205407.36;2
01.08.2024;94053 Mercedes-Benz-3341 Aсtros О370ВА198;29107.15;1
01.08.2024;АО;17423.36;0
01.08.2024;115928 КамАЗ-53215-15 Р831УР198;100290;1
01.08.2024;115929 КамАЗ-532150 Р273УН198;84265.84;1
01.08.2024;117214 УРАЛ 4320-1951-40 5493V2 (столовая) Р927СА198;14820;2
01.08.2024;118011 УРАЛ 5675-G0 О039АЕ198;4047.51;0
01.08.2024;118047 УРАЛ 66173-0000013 В306ХТ199;56915.05;0
01.08.2024;118595 УРАЛ 5493Т Р727РА198;34641.32;2
01.08.2024;118597 УРАЛ 5493Т Р244РВ198;8100.27;1
01.08.2024;118598 УРАЛ 5493Т Р609КН198;15884.32;2
01.08.2024;118604 УРАЛ 5493Т Р984МО198;8083.33;0
01.08.2024;121101 ЭД-30С-Т400-2Р;3190;1
01.08.2024;67007 МТЗ-КО-207 2746СЕ89;44983.34;1
01.08.2024;84199 УАЗ-220695-04 г/н Е698РТ197;1118;0
01.08.2024;84416 УАЗ-390945 (Фермер) г/н Р334УА198;2200;0
01.08.2024;86291 УАЗ-390945 (Фермер) Р160ТВ198;222252.59;2
01.08.2024;87008 Toyota Camry Н907СС198;15348.31;1
01.08.2024;90029 УРАЛ 583100 г/н А670УС89 ;1118;0
01.08.2024;117012 УРАЛ 48952A Х149ВЕ89;4500;0
01.08.2024;117187 ГАЗ-320273 278819 М583ХЕ198;16200;0
01.08.2024;117189 ГАЗ-330273 278819 М740ХЕ198;4860;3
01.08.2024;117195 КамАЗ-43118-23027-50 АФ-57435С-02 Р467УК198;139648.26;2
01.08.2024;117208 УРАЛ 4320 57641-10 Р421РУ198;29166.67;1
01.08.2024;117215 УРАЛ 4320-1951-40 5493V2 (столовая) Р358РУ198;29166.67;1
01.08.2024;118433 УРАЛ 5493Т Р566НУ198;12394.74;4
01.08.2024;118435 УРАЛ 5493Т Р597НТ198;74011.51;1
01.08.2024;118492 УРАЛ 4320-1951-40 4672К7-10 Р714СЕ198;261110;2
01.08.2024;118596 УРАЛ 5493Т Р695ЕЕ198;20000;1
01.08.2024;118601 УРАЛ 5493Т Р741РУ198;49536.25;3
01.08.2024;118606 УРАЛ 5493Т Р440КН198;20000;1
01.08.2024;118608 УРАЛ 5493Т Р438КН198;20000;1
01.08.2024;118612 УРАЛ 5493Т Р473КН198;20000;1
01.08.2024;124995 XMT-200CC2S-JSDJ;16742.81;2
01.08.2024;160096 МДН 86.26-010;16000;0
01.08.2024;АО;5444.76;0
01.08.2024;АО;15000;0
01.08.2024;84354 УАЗ-390945 (Фермер) г/н А990ТХ89;1118;0
01.08.2024;117040 УРАЛ 47441С г/н К539НР197;2200;0
